id_incidencia,codigo_incidencia,id_operacion,tipo_incidencia,severidad,fecha_reporte,estado_incidencia
70,I00070,91,Falla de registro,Media,2026-01-10,Cerrada
71,I00071,109,Falla de registro,Alta,2026-03-24,Abierta
72,I00072,432,Dato inconsistente,Media,2026-03-29,Cerrada
73,I00073,375,Dato inconsistente,Media,2026-02-22,En revisi?n
74,I00074,89,Demora,Baja,2026-01-02,Cerrada
75,I00075,259,Demora,Alta,2026-02-03,Abierta
76,I00076,127,Demora,Alta,2026-06-13,Cerrada
77,I00077,15,Reclamo,Baja,2026-02-21,Cerrada
78,I00078,448,Dato inconsistente,Baja,2026-04-23,En revisi?n
79,I00079,403,Demora,Media,2026-04-01,Cerrada
80,I00080,274,Dato inconsistente,Baja,2026-05-31,Abierta
81,I00081,352,Falla de registro,Media,2026-01-31,Cerrada
82,I00082,49,Reprogramaci?n,Baja,2026-02-07,Abierta
83,I00083,414,Falla de registro,Media,2026-01-16,En revisi?n
84,I00084,310,Reprogramaci?n,Media,2026-04-28,En revisi?n
85,I00085,439,Reclamo,Baja,2026-05-23,Cerrada
86,I00086,169,Dato inconsistente,Media,2026-05-09,Cerrada
87,I00087,174,Reclamo,Alta,2026-05-15,En revisi?n
88,I00088,153,Reprogramaci?n,Alta,2026-04-27,Cerrada
89,I00089,244,Reclamo,Media,2026-03-10,Abierta
90,I00090,201,Dato inconsistente,Baja,2026-05-10,Abierta
91,I00091,480,Falla de registro,Alta,2026-06-16,Cerrada
92,I00092,193,Falla de registro,Media,2026-01-24,Abierta
93,I00093,161,Reclamo,Baja,2026-02-07,En revisi?n
94,I00094,248,Dato inconsistente,Baja,2026-01-08,Cerrada
95,I00095,279,Reclamo,Baja,2026-02-07,Cerrada
