id_incidencia,codigo_incidencia,id_operacion,tipo_incidencia,severidad,fecha_reporte,estado_incidencia
56,I00056,396,Matrícula observada,Baja,2026-05-01,Abierta
57,I00057,401,Nota pendiente,Baja,2026-02-17,En revisión
58,I00058,407,Acceso al aula virtual,Alta,2026-04-02,Cerrada
59,I00059,424,Cruce de horario,Media,2026-06-12,Abierta
60,I00060,433,Pago no aplicado,Media,2026-05-16,Abierta
61,I00061,434,Matrícula observada,Baja,2026-02-23,Cerrada
62,I00062,438,Nota pendiente,Media,2026-04-07,Abierta
63,I00063,440,Acceso al aula virtual,Alta,2026-02-13,Cerrada
64,I00064,457,Cruce de horario,Media,2026-05-24,En revisión
65,I00065,460,Pago no aplicado,Alta,2026-04-13,Cerrada
66,I00066,469,Matrícula observada,Media,2026-05-07,En revisión
67,I00067,474,Nota pendiente,Media,2026-02-16,En revisión
68,I00068,478,Acceso al aula virtual,Media,2026-03-18,En revisión
69,I00069,479,Cruce de horario,Alta,2026-02-24,En revisión
70,I00070,496,Pago no aplicado,Alta,2026-06-19,Abierta
71,I00071,520,Matrícula observada,Media,2026-05-06,Abierta
72,I00072,524,Nota pendiente,Alta,2026-03-22,Cerrada
73,I00073,525,Acceso al aula virtual,Media,2026-04-09,Cerrada
74,I00074,526,Cruce de horario,Alta,2026-02-03,Abierta
75,I00075,528,Pago no aplicado,Alta,2026-05-13,Abierta
76,I00076,534,Matrícula observada,Baja,2026-03-28,En revisión
77,I00077,542,Nota pendiente,Baja,2026-02-02,En revisión
78,I00078,545,Acceso al aula virtual,Media,2026-05-27,En revisión
79,I00079,551,Cruce de horario,Alta,2026-03-21,En revisión
80,I00080,553,Pago no aplicado,Baja,2026-05-14,En revisión
81,I00081,557,Matrícula observada,Media,2026-02-26,Cerrada
82,I00082,558,Nota pendiente,Baja,2026-06-08,Abierta
83,I00083,561,Acceso al aula virtual,Media,2026-04-15,Cerrada
84,I00084,562,Cruce de horario,Baja,2026-04-14,En revisión
85,I00085,570,Pago no aplicado,Alta,2026-02-24,En revisión
86,I00086,572,Matrícula observada,Alta,2026-03-22,Abierta
87,I00087,581,Nota pendiente,Baja,2026-04-19,En revisión
88,I00088,586,Acceso al aula virtual,Alta,2026-06-27,Abierta
89,I00089,590,Cruce de horario,Alta,2026-05-23,Abierta
90,I00090,593,Pago no aplicado,Baja,2026-04-12,Cerrada
91,I00091,600,Matrícula observada,Alta,2026-05-03,Cerrada
92,I00092,603,Nota pendiente,Alta,2026-02-26,En revisión
93,I00093,606,Acceso al aula virtual,Alta,2026-06-20,Abierta
94,I00094,608,Cruce de horario,Baja,2026-05-14,Abierta
95,I00095,624,Pago no aplicado,Media,2026-06-12,Cerrada
96,I00096,628,Matrícula observada,Baja,2026-05-21,En revisión
97,I00097,631,Nota pendiente,Alta,2026-04-07,Abierta
98,I00098,632,Acceso al aula virtual,Media,2026-03-09,Cerrada
99,I00099,642,Cruce de horario,Alta,2026-06-15,Cerrada
100,I00100,662,Pago no aplicado,Alta,2026-03-07,Cerrada
101,I00101,667,Matrícula observada,Media,2026-02-21,Abierta
102,I00102,675,Nota pendiente,Baja,2026-02-07,Cerrada
103,I00103,678,Acceso al aula virtual,Media,2026-06-20,En revisión
104,I00104,680,Cruce de horario,Media,2026-04-24,Abierta
105,I00105,683,Pago no aplicado,Media,2026-04-17,En revisión
106,I00106,684,Matrícula observada,Alta,2026-04-03,Abierta
107,I00107,686,Nota pendiente,Media,2026-05-14,En revisión
108,I00108,697,Acceso al aula virtual,Baja,2026-04-17,Cerrada
109,I00109,699,Cruce de horario,Alta,2026-06-15,Cerrada
110,I00110,707,Pago no aplicado,Baja,2026-05-13,En revisión
111,I00111,708,Matrícula observada,Alta,2026-02-18,En revisión
112,I00112,713,Nota pendiente,Media,2026-02-22,En revisión
113,I00113,716,Acceso al aula virtual,Media,2026-03-27,En revisión
114,I00114,720,Cruce de horario,Alta,2026-03-03,Abierta
115,I00115,724,Pago no aplicado,Media,2026-04-17,En revisión
116,I00116,752,Matrícula observada,Media,2026-05-15,Cerrada
117,I00117,755,Nota pendiente,Media,2026-02-08,Cerrada
118,I00118,760,Acceso al aula virtual,Baja,2026-06-07,En revisión
119,I00119,762,Cruce de horario,Baja,2026-03-25,Abierta
120,I00120,763,Pago no aplicado,Baja,2026-03-06,Cerrada
121,I00121,776,Matrícula observada,Alta,2026-03-04,Abierta
122,I00122,789,Nota pendiente,Baja,2026-02-25,En revisión
123,I00123,801,Acceso al aula virtual,Alta,2026-04-09,Cerrada
124,I00124,806,Cruce de horario,Alta,2026-02-02,Abierta
125,I00125,810,Pago no aplicado,Baja,2026-05-20,En revisión
126,I00126,818,Matrícula observada,Alta,2026-03-11,En revisión
127,I00127,819,Nota pendiente,Baja,2026-03-03,En revisión
128,I00128,826,Acceso al aula virtual,Alta,2026-03-24,En revisión
129,I00129,828,Cruce de horario,Baja,2026-02-11,Abierta
130,I00130,840,Pago no aplicado,Alta,2026-02-17,En revisión
131,I00131,845,Matrícula observada,Alta,2026-03-15,En revisión
132,I00132,855,Nota pendiente,Media,2026-05-23,Abierta
133,I00133,865,Acceso al aula virtual,Alta,2026-06-12,En revisión
134,I00134,869,Cruce de horario,Alta,2026-06-22,Abierta
135,I00135,880,Pago no aplicado,Alta,2026-02-15,En revisión
136,I00136,881,Matrícula observada,Baja,2026-06-05,En revisión
137,I00137,883,Nota pendiente,Baja,2026-05-11,Cerrada
138,I00138,887,Acceso al aula virtual,Baja,2026-06-07,Cerrada
139,I00139,888,Cruce de horario,Baja,2026-02-11,Cerrada
140,I00140,894,Pago no aplicado,Baja,2026-02-01,Abierta
141,I00141,897,Matrícula observada,Media,2026-06-11,En revisión
142,I00142,898,Nota pendiente,Alta,2026-02-08,Cerrada
143,I00143,907,Acceso al aula virtual,Baja,2026-05-16,En revisión
144,I00144,910,Cruce de horario,Alta,2026-05-14,Cerrada
145,I00145,913,Pago no aplicado,Media,2026-05-07,Cerrada
146,I00146,925,Matrícula observada,Alta,2026-04-13,Cerrada
147,I00147,926,Nota pendiente,Baja,2026-04-08,En revisión
148,I00148,936,Acceso al aula virtual,Media,2026-04-23,Cerrada
149,I00149,937,Cruce de horario,Alta,2026-05-01,Abierta
150,I00150,938,Pago no aplicado,Alta,2026-02-28,Cerrada
151,I00151,942,Matrícula observada,Alta,2026-03-19,Cerrada
152,I00152,963,Nota pendiente,Baja,2026-02-13,Cerrada
153,I00153,967,Acceso al aula virtual,Baja,2026-03-07,Cerrada
154,I00154,993,Cruce de horario,Media,2026-02-16,En revisión
155,I00155,996,Pago no aplicado,Baja,2026-04-03,Cerrada
