id_incidencia,codigo_incidencia,id_operacion,tipo_incidencia,severidad,fecha_reporte,estado_incidencia
71,I00071,234,Dato inconsistente,Media,2026-03-05,Cerrada
72,I00072,39,Falla de registro,Baja,2026-04-13,Abierta
73,I00073,449,Dato inconsistente,Media,2026-01-23,En revisi?n
74,I00074,84,Dato inconsistente,Media,2026-01-08,En revisi?n
75,I00075,97,Falla de registro,Media,2026-01-13,Abierta
76,I00076,30,Demora,Baja,2026-06-24,Cerrada
77,I00077,336,Reprogramaci?n,Alta,2026-05-13,En revisi?n
78,I00078,207,Falla de registro,Baja,2026-03-26,En revisi?n
79,I00079,6,Reprogramaci?n,Alta,2026-05-03,Cerrada
80,I00080,248,Reclamo,Media,2026-03-04,Cerrada
81,I00081,367,Reprogramaci?n,Media,2026-05-25,En revisi?n
82,I00082,238,Reprogramaci?n,Baja,2026-03-23,Abierta
83,I00083,134,Reprogramaci?n,Alta,2026-04-21,En revisi?n
84,I00084,485,Falla de registro,Baja,2026-06-15,Abierta
85,I00085,494,Dato inconsistente,Baja,2026-03-11,Abierta
86,I00086,370,Dato inconsistente,Media,2026-06-26,En revisi?n
87,I00087,111,Dato inconsistente,Media,2026-03-31,Abierta
88,I00088,482,Demora,Media,2026-01-26,Abierta
89,I00089,343,Demora,Baja,2026-03-27,Abierta
90,I00090,246,Reclamo,Alta,2026-06-15,En revisi?n
91,I00091,463,Demora,Alta,2026-04-18,En revisi?n
92,I00092,429,Reprogramaci?n,Media,2026-03-10,En revisi?n
93,I00093,120,Reprogramaci?n,Media,2026-04-10,Cerrada
94,I00094,442,Reclamo,Baja,2026-03-08,En revisi?n
95,I00095,437,Demora,Media,2026-06-05,Cerrada
