id_incidencia,codigo_incidencia,id_operacion,tipo_incidencia,severidad,fecha_reporte,estado_incidencia
42,I00042,296,Entrega incompleta,Alta,2026-02-18,En revisión
43,I00043,314,Producto dañado,Alta,2026-06-14,En revisión
44,I00044,318,Retraso de despacho,Media,2026-04-10,Cerrada
45,I00045,326,Solicitud de devolución,Alta,2026-05-04,Abierta
46,I00046,329,Producto equivocado,Alta,2026-02-28,Abierta
47,I00047,330,Entrega incompleta,Media,2026-04-27,Abierta
48,I00048,332,Producto dañado,Baja,2026-06-28,Cerrada
49,I00049,336,Retraso de despacho,Baja,2026-06-18,Cerrada
50,I00050,350,Solicitud de devolución,Baja,2026-06-08,Cerrada
51,I00051,356,Producto equivocado,Alta,2026-04-24,Cerrada
52,I00052,357,Entrega incompleta,Baja,2026-05-21,En revisión
53,I00053,364,Producto dañado,Baja,2026-05-22,Abierta
54,I00054,377,Retraso de despacho,Baja,2026-05-08,En revisión
55,I00055,396,Solicitud de devolución,Alta,2026-04-13,En revisión
56,I00056,413,Producto equivocado,Baja,2026-02-02,En revisión
57,I00057,418,Entrega incompleta,Media,2026-04-13,Abierta
58,I00058,424,Producto dañado,Media,2026-02-15,Abierta
59,I00059,430,Retraso de despacho,Baja,2026-05-15,En revisión
60,I00060,432,Solicitud de devolución,Baja,2026-05-01,Cerrada
61,I00061,435,Producto equivocado,Media,2026-05-20,En revisión
62,I00062,436,Entrega incompleta,Alta,2026-06-02,Cerrada
63,I00063,440,Producto dañado,Baja,2026-05-22,Cerrada
64,I00064,445,Retraso de despacho,Media,2026-06-01,En revisión
65,I00065,448,Solicitud de devolución,Baja,2026-03-11,Abierta
66,I00066,458,Producto equivocado,Media,2026-02-02,En revisión
67,I00067,461,Entrega incompleta,Alta,2026-04-01,Cerrada
68,I00068,473,Producto dañado,Alta,2026-06-27,En revisión
69,I00069,495,Retraso de despacho,Media,2026-02-07,Cerrada
70,I00070,497,Solicitud de devolución,Media,2026-03-23,Abierta
71,I00071,504,Producto equivocado,Media,2026-06-12,En revisión
72,I00072,506,Entrega incompleta,Alta,2026-05-13,Abierta
73,I00073,509,Producto dañado,Baja,2026-05-22,Abierta
74,I00074,512,Retraso de despacho,Baja,2026-05-05,Abierta
75,I00075,517,Solicitud de devolución,Media,2026-06-24,En revisión
76,I00076,518,Producto equivocado,Baja,2026-04-01,Abierta
77,I00077,519,Entrega incompleta,Alta,2026-05-12,Abierta
78,I00078,558,Producto dañado,Media,2026-03-14,En revisión
79,I00079,560,Retraso de despacho,Baja,2026-02-21,Cerrada
80,I00080,561,Solicitud de devolución,Media,2026-02-13,Cerrada
81,I00081,565,Producto equivocado,Alta,2026-06-01,Abierta
82,I00082,571,Entrega incompleta,Alta,2026-05-06,En revisión
83,I00083,573,Producto dañado,Media,2026-06-03,Cerrada
84,I00084,590,Retraso de despacho,Alta,2026-03-08,En revisión
85,I00085,607,Solicitud de devolución,Baja,2026-03-17,Cerrada
86,I00086,613,Producto equivocado,Alta,2026-03-04,Abierta
87,I00087,619,Entrega incompleta,Media,2026-05-08,Cerrada
88,I00088,622,Producto dañado,Media,2026-02-22,Cerrada
89,I00089,630,Retraso de despacho,Alta,2026-03-02,En revisión
90,I00090,633,Solicitud de devolución,Baja,2026-06-02,En revisión
91,I00091,634,Producto equivocado,Media,2026-06-22,Cerrada
92,I00092,644,Entrega incompleta,Baja,2026-05-14,Abierta
93,I00093,648,Producto dañado,Baja,2026-05-11,En revisión
94,I00094,652,Retraso de despacho,Baja,2026-03-10,Abierta
95,I00095,663,Solicitud de devolución,Alta,2026-03-10,Abierta
96,I00096,677,Producto equivocado,Media,2026-06-20,Abierta
97,I00097,686,Entrega incompleta,Alta,2026-06-09,Cerrada
98,I00098,703,Producto dañado,Baja,2026-05-11,Abierta
99,I00099,718,Retraso de despacho,Alta,2026-05-01,Abierta
100,I00100,723,Solicitud de devolución,Alta,2026-02-20,Cerrada
101,I00101,725,Producto equivocado,Baja,2026-02-01,En revisión
102,I00102,728,Entrega incompleta,Baja,2026-02-22,En revisión
103,I00103,730,Producto dañado,Alta,2026-05-17,Cerrada
104,I00104,740,Retraso de despacho,Baja,2026-02-26,Abierta
105,I00105,742,Solicitud de devolución,Media,2026-05-04,Abierta
106,I00106,752,Producto equivocado,Media,2026-05-11,En revisión
107,I00107,757,Entrega incompleta,Media,2026-03-27,En revisión
108,I00108,772,Producto dañado,Media,2026-06-03,Cerrada
109,I00109,779,Retraso de despacho,Media,2026-06-25,En revisión
110,I00110,798,Solicitud de devolución,Baja,2026-06-07,Abierta
111,I00111,807,Producto equivocado,Baja,2026-05-23,Abierta
112,I00112,819,Entrega incompleta,Baja,2026-06-21,En revisión
113,I00113,829,Producto dañado,Alta,2026-02-25,Cerrada
114,I00114,835,Retraso de despacho,Alta,2026-02-01,En revisión
115,I00115,837,Solicitud de devolución,Alta,2026-02-05,Abierta
116,I00116,864,Producto equivocado,Media,2026-02-22,Abierta
117,I00117,867,Entrega incompleta,Alta,2026-05-14,Abierta
118,I00118,871,Producto dañado,Media,2026-06-17,En revisión
119,I00119,878,Retraso de despacho,Media,2026-03-13,En revisión
120,I00120,892,Solicitud de devolución,Media,2026-06-19,Abierta
121,I00121,904,Producto equivocado,Alta,2026-02-03,Cerrada
122,I00122,907,Entrega incompleta,Baja,2026-05-19,En revisión
123,I00123,913,Producto dañado,Media,2026-02-04,Abierta
124,I00124,916,Retraso de despacho,Media,2026-02-23,Abierta
125,I00125,923,Solicitud de devolución,Media,2026-02-06,Cerrada
126,I00126,939,Producto equivocado,Baja,2026-04-06,Abierta
127,I00127,942,Entrega incompleta,Baja,2026-03-21,Cerrada
128,I00128,945,Producto dañado,Media,2026-03-21,En revisión
129,I00129,948,Retraso de despacho,Media,2026-05-26,Cerrada
130,I00130,949,Solicitud de devolución,Baja,2026-05-25,Cerrada
131,I00131,952,Producto equivocado,Alta,2026-03-16,En revisión
132,I00132,959,Entrega incompleta,Baja,2026-05-08,Abierta
133,I00133,965,Producto dañado,Media,2026-02-21,Abierta
134,I00134,985,Retraso de despacho,Media,2026-06-08,En revisión
135,I00135,990,Solicitud de devolución,Media,2026-03-20,En revisión
136,I00136,991,Producto equivocado,Alta,2026-03-03,Abierta
137,I00137,992,Entrega incompleta,Media,2026-02-06,En revisión
138,I00138,997,Producto dañado,Baja,2026-03-10,Abierta
139,I00139,998,Retraso de despacho,Media,2026-05-14,Abierta
